Merchant Name,Category Name,% Rate,Flat Rate
Amazin' Aces,Exercise & Fitness,20.0,0.0
Amazing Clubs,Wine,7.5,0.0
Amazing Grass,Vitamins & Supplements,5.0,0.0
Amber Sceats,Jewelry,9.0,0.0
AmberPromos,Signage,5.0,0.0
Amberwing Organics,CBD,35.0,5.0
Ambir,B2B,10.0,0.0
Ambrosia,Luggage & Bags,7.0,0.0
Ambrosia Systems,Consumer Services,10.0,0.0
Amelia Rose,Jewelry,25.0,0.0
Ameo Life,Vitamins & Supplements,7.0,0.0
America's Test Kitchen,Kitchen & Dining,0.0,25.0
American Bank Checks,Financial,16.0,0.0
American Buffalo Knife and Tool,Weapons,7.0,0.0
American Eagle & Aerie,Clothing & Apparel,25.0,0.0
American Family Safety,Household,15.0,0.0
American Fighter,Clothing & Apparel,10.0,0.0
American Girl,"Dolls, Playsets & Toy Figures",1.0,0.0
American Home Shield,Home,0.0,30.0
American Provenance,Beauty & Cosmetics,30.0,0.0
American Rag,Women,10.0,0.0
American Signature,Household,5.6,0.0
American Tall,Clothing & Apparel,8.0,0.0
American Tourister,Luggage & Bags,10.0,0.0
American Trench,Men,6.0,0.0
American Water Resources,Consumer Services,1.0,0.01
AmericanFlags.com,Household,8.0,0.0
Amerisun INC US,Electronics Accessories,1.6,0.0
Amish Furniture,Furniture,4.0,0.0
Ammunition Depot,Weapons,5.0,0.0
Amore Beds,Bed & Bath,15.0,150.0
AmpAura Energy,Consumer Electronics,10.0,0.0
Amplify Ventures Ltd,Software,15.0,0.0
Amstar DMC,Travel,6.0,0.0
Anantara Resorts,Vacation Packages,4.0,0.0
Anariel Design,Web Hosting & Domains,24.0,0.0
Ancheer,Cycling,5.0,0.0
Ancient + Brave,Beverages,5.0,3.0
Ancient DNA Origins,Consumer Services,40.0,0.0
Ancient Greek Sandals,Shoes,8.0,0.0
Andalou Naturals,Health & Beauty,5.0,0.0
Andie,Swimwear,8.0,0.0
Andyanand,Food & Gourmet,10.0,0.0
Angel Bliss,Baby Toys & Activity Equipment,10.0,0.0
AngelVPN,Computers & Electronics,80.0,0.0
"Angelique, Inc",Underwear & Socks,18.0,0.0
Anifurry Blankets,Home Decor,10.0,0.0
Aniioki,Motor Vehicle Electronics,3.0,0.0
Aniise,Beauty & Cosmetics,12.0,0.0
AnimalPak,Exercise & Fitness,7.0,0.0
Anisa Sojka,Jewelry,10.0,0.0
AnkerMake,3D Printers,12.0,0.0
Anna Sheffield,Jewelry,10.0,0.0
Anna-Kaci,Women,8.0,0.0
Anne Klein,Clothing & Apparel,0.0,0.02
Annie Cloth,Clothing & Apparel,12.0,0.0
Annie Haak,Jewelry,5.0,0.0
Antix Clothing,Clothing & Apparel,20.0,0.0
Antler,Luggage & Bags,8.0,0.0
Antler Rings,Jewelry,5.0,0.0
Antony Morato,Clothing & Apparel,7.03,0.0
Antop,Consumer Electronics,0.0,12.0
Anuschka,Clothing & Apparel,10.0,0.0
Any Age Activewear,Clothing & Apparel,6.0,0.0
Any Hill,Cycling,6.0,0.0
Anya Hindmarch,Luggage & Bags,5.0,0.0
Anyday,Household,8.0,0.0
Anytime Mailbox,Consumer Services,15.2,20.0
AoonuAuto,Vehicles & Parts,10.0,0.0
Aorkuler,Consumer Services,12.0,0.0
Ape Born,Exercise & Fitness,10.0,0.0
Apex Club,Camping & Hiking,10.0,0.0
Apex Learning,Education,6.0,0.0
Apiece Apart,Clothing & Apparel,15.0,0.0
Apollo Neuroscience,Health Care,10.0,35.0
Apotheke,Home Decor,5.0,0.0
AppPresser,B2B,20.0,0.0
AppSumo,Software,15.0,0.0
Appaman,Clothing & Apparel,2.0,0.0
Applian Technologies,Software,20.0,0.0
"AppliancePartsPros.com, Inc.",Household,9.0,0.0
Appointy,Software,30.0,0.01
Approach Tours,Tours,0.0,175.0
ApresVee,Consumer Services,20.0,0.0
Aqua Outdoors,Pool & Spa,5.0,0.0
AquaTru,Appliances,4.0,0.0
AquaVault,Electronics Accessories,7.0,0.0
Aquafire,Home Decor,8.0,50.0
Aquaroo,Babies & Kids,10.0,0.0
Aquatabs,Health & Wellness,7.0,0.0
Aray,Health & Beauty,10.0,0.0
Arbor,Home Decor,0.0,15.0
Arc Studio,Software,0.0,10.0
Archer Roose,Alcohol / Beer,2.0,0.0
Archives,Consumer Services,30.0,0.0
Arctic Lynx Maternity,Clothing & Apparel,8.0,0.0
Arcwave,Sex Toys,5.0,0.0
Areaware,Toys & Games,2.0,0.0
Arenti,Consumer Electronics,12.0,0.0
Arey,Personal Care,1.0,0.0
Argentum,Fragrance & Cologne,4.0,0.0
Argires Snacks,Food & Gourmet,5.0,0.0
Arianna Belle,Home Decor,10.0,0.0
Aricove,Household,10.0,0.0
Ariel Gordon Jewelry,Jewelry,12.0,0.0
Arizona School of Real Estate & Business,Education,6.0,0.0
Ark Swimwear,Clothing & Apparel,10.0,0.0
Ark7,Financial,0.0,18.0
Arkel Inc,Cycling,5.0,0.0
Arlo Skye,Travel,5.0,0.0
Arlow,Liquor & Spirits,12.0,0.0
Armament Systems & Procedures,Weapons,10.0,0.0
Armament Technology,Weapons,10.0,0.0
Armani,Clothing & Apparel,9.6,0.0
