Merchant Name,Category Name,c. Total Coupons,% Rate,Flat Rate
Chewy,Animals & Pet Supplies,19,6.0,0.0
Vooglam,Contacts & Glasses,19,10.0,0.0
Wellfit,Exercise & Fitness,18,5.0,0.0
Volcanica Coffee Company,Food & Gourmet,18,10.0,0.0
FLEXIMOUNTS,Household,18,7.0,0.0
Spirit Halloween,Halloween,18,4.0,0.0
NIKE,Sporting Goods,18,9.0,0.0
Keds,Shoes,18,10.0,0.0
Canada Pet Care,Animals & Pet Supplies,18,12.0,0.0
1- 800 Flowers,Flowers,18,6.0,5.0
Annmarie Skin Care,Personal Care,18,12.0,0.0
FlutterHabit,Beauty & Cosmetics,18,2.4,0.0
Gexa Electricity & Energy,Consumer Services,18,0.0,13.0
GOVEE,Lighting,18,12.0,0.0
GemsNY,Jewelry,18,6.4,0.0
Soundcore,Audio,18,9.0,0.0
J. Jill,Clothing & Apparel,18,4.0,0.0
Colleen Rothschild Beauty,Health & Beauty,17,8.0,0.0
The Ayurveda Experience,Health & Beauty,17,25.0,1.0
Shark Ninja,Consumer Electronics,17,7.0,0.0
Stacy Adams,Shoes,17,4.0,0.0
Restaurant.com,Food & Drink,17,30.0,0.0
Ouidad,Health & Beauty,17,8.0,0.0
Melissa and Doug,Toys & Games,17,3.0,0.0
Iolo System Mechanic,Software,17,0.0,20.0
Famous Footwear,Shoes,17,3.01,0.0
Lovehoney,Erotic,17,18.0,0.0
Bissell,Household,17,4.0,0.04872
Omio,Travel,17,10.0,0.0
NeoGenesis,Health & Beauty,17,12.0,0.0
Zenni Optical,Contacts & Glasses,17,5.0,0.0
Xpluswear,Plus,17,12.0,0.0
Wine Insiders,Wine,17,8.0,25.0
Madewell,Women,17,3.0,0.0
BodyBio,Health & Beauty,17,10.0,0.0
Rack Room Shoes,Shoes,17,3.0,0.0
Allegra K,Clothing & Apparel,17,15.0,0.0
JACHS NY,Clothing & Apparel,16,6.0,0.0
Lion Brand Yarn,Hobbies & Creative Arts,16,5.0,0.0
Home Chef,Food & Gourmet,16,0.0,100.0
Razer,Computers & Accessories,16,5.0,0.0
The Sportsman's Guide,Weapons,16,5.0,0.0
Nunn Bush,Shoes,16,6.0,0.0
The House of Staunton,Board Games,16,3.0,0.0
Groupon,Local Deals,16,6.0,0.0
GoDaddy,Web Hosting & Domains,16,5.0,0.0
Florsheim,Shoes,16,6.0,0.0
sweetcrispy,Furniture,16,15.0,0.0
M&Ms,Snacks,16,6.0,0.0
Safelite,Vehicles & Parts,16,0.0,15.0
ISSA,Exercise & Fitness,16,14.4,0.0
