Merchant Name,Category Name,Country code,c. Total Coupons,% Rate,Flat Rate
LOFT,Clothing & Apparel,US,15,3.00%,
Yogi Surprise,Health & Beauty,US,15,,16
Nebula,Projectors,US,14,7.00%,
HOKA,Shoes,US,14,8.00%,
Kemimoto,Vehicles & Parts,US,14,7.00%,
Hohem,Electronics Accessories,US,14,9.00%,0
Equilibria,Health & Beauty,US,14,20.00%,
Snap Supplements,Health & Beauty,US,14,5.00%,
Lepro,Household,US,14,12.00%,
The Prisoner Wine Company,Wine,US,14,8.00%,
Martin's,Online Grocery,US,14,0.00%,10
Ancestry,Consumer Services,US,14,20.00%,
Academy for Health and Fitness,Online Courses,US,14,30.00%,
WeCreat,3D Printers,US,14,5.00%,
Hi-Tie,Accessories,US,14,20.00%,
BIGGMANS,Big & Tall,US,14,15.00%,
Aurzen,Smart Home Devices,US,14,10.00%,
Oyrosy,Clothing & Apparel,US,14,15.00%,
Belk,Department Stores,US,14,6.00%,0
Burts Bees Baby,Babies & Kids,US,14,4.00%,0
Lucky Brand,Clothing & Apparel,US,14,7.00%,
Nautica,Clothing & Apparel,US,14,3.20%,
NordVPN,Software,US,14,45.00%,
simpli-home,Household,US,14,5.00%,
StubHub,Event Tickets,US,14,9.00%,
Teleflora,Flowers,US,14,12.00%,
Yankee Candle,Household,US,14,6.00%,0
Rover,B2B,US,14,16.00%,20
Priority Tire,Motor Vehicle Parts,US,14,6.00%,
Hostinger,Web Hosting & Domains,US,13,60.00%,
SOL,Yoga & Pilates,US,13,3.00%,
Engine DIY,Hobbies & Creative Arts,US,13,5.00%,
Fenty Beauty,Beauty & Cosmetics,US,13,8.00%,
tarte cosmetics,Beauty & Cosmetics,US,13,8.00%,
campark,Camera & Optics,US,13,15.00%,
Tap Score,Supplies,US,13,10.00%,
Outerknown,Clothing & Apparel,US,13,12.00%,
BestOfSigns,B2B,US,13,12.00%,
BestRealDoll,Erotic,US,13,10.00%,
BRoadout,Sporting Goods,US,13,15.00%,
DYU,Sporting Goods,US,13,10.00%,
Nutree Cosmetics,Health & Beauty,US,13,11.00%,
Eonon,Vehicles & Parts,US,13,3.00%,
VTOMAN,Batteries,US,13,14.00%,
Vanimy,Jewelry,US,13,15.00%,
